"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17081","TC-0004 | Verify sorting options by Price (low to high)","","Tue Mar 11 13:03:21 GMT 2025","passed","Tue Mar 11 13:03:38 GMT 2025","","Inventory Tests","InventoryTests","verifySortingLowToHigh"
"","57","TC-0013 | DELETE - Remove Pet","","Tue Mar 11 13:03:39 GMT 2025","passed","Tue Mar 11 13:03:39 GMT 2025","","Pet Store API Tests","PetStoreApiTest","deletePet"
"","98","TcC-0012 |PUT - Update Pet Status","","Tue Mar 11 13:03:39 GMT 2025","passed","Tue Mar 11 13:03:39 GMT 2025","","Pet Store API Tests","PetStoreApiTest","updatePetStatus"
"","531","TC-0010 | GET - Find Available Pets","","Tue Mar 11 13:03:39 GMT 2025","passed","Tue Mar 11 13:03:39 GMT 2025","","Pet Store API Tests","PetStoreApiTest","findAvailablePets"
"","17085","TC-0005 | Verify sorting options by Price (high to low)","","Tue Mar 11 13:03:21 GMT 2025","passed","Tue Mar 11 13:03:38 GMT 2025","","Inventory Tests","InventoryTests","verifySortingHighToLow"
"","19785","TC-0014 | Verify that specific products are present in the cart","","Tue Mar 11 13:03:21 GMT 2025","passed","Tue Mar 11 13:03:41 GMT 2025","","Cart Tests","CartTests","verifySpecificProductsInCart"
"","153","TC-0011 | GET - Get Pet By ID","","Tue Mar 11 13:03:39 GMT 2025","failed","Tue Mar 11 13:03:39 GMT 2025","","Pet Store API Tests","PetStoreApiTest","getPetById"
"","17081","TC-0007 | Verify sorting options by Name (Z to A)","","Tue Mar 11 13:03:21 GMT 2025","passed","Tue Mar 11 13:03:38 GMT 2025","","Inventory Tests","InventoryTests","verifySortingNameZToA"
"","21186","TC-0008 | Verify checkout overview with three products","","Tue Mar 11 13:03:20 GMT 2025","passed","Tue Mar 11 13:03:41 GMT 2025","","Checkout Tests","CheckoutTests","verifyCheckoutOverview"
"","17050","TC-0001 | Verify login","","Tue Mar 11 13:03:21 GMT 2025","passed","Tue Mar 11 13:03:38 GMT 2025","","Login Tests","LoginTests","verifyLogin"
"","17053","TC-0002 | Verify invalid login","","Tue Mar 11 13:03:21 GMT 2025","passed","Tue Mar 11 13:03:38 GMT 2025","","Login Tests","LoginTests","verifyInvalidLogin"
"","13683","TC-0009 | API -POST - Create Pet","","Tue Mar 11 13:03:24 GMT 2025","passed","Tue Mar 11 13:03:38 GMT 2025","","Pet Store API Tests","PetStoreApiTest","createPet"
"","17083","TC-0006 | Verify sorting options by Name (A to Z)","","Tue Mar 11 13:03:21 GMT 2025","passed","Tue Mar 11 13:03:38 GMT 2025","","Inventory Tests","InventoryTests","verifySortingNameAToZ"
"","17060","TC-0003 | Verify locked-out user","","Tue Mar 11 13:03:21 GMT 2025","passed","Tue Mar 11 13:03:38 GMT 2025","","Login Tests","LoginTests","verifyLockedOutUser"
